"","accel_changes","closest_def_loc","closest_defender","closest_defender_angle","closest_defender_dist","closest_teammate","closest_teammate_angle","closest_teammate_dist","closest_teammate_loc","court_zone","game_clock","game_date","made","new_x","new_y","num_close_def","num_close_team","num_poss","other_shot","quarter","shooter","shooter_avg_vel","shooter_dist_to_ball","shooter_dist_traveled","shooter_team","shooter_vel_at_shot","shot_clock","shot_val","x_loc","y_loc"
"1",91,"right","Robert Covington",2.26652198142862,3.8975725087803,"Derrick Williams",2.20776435464131,17.4432027363928,"right",2,21454,"2015-12-18",FALSE,8.64075,30.32547,1,0,3,0,2,"Carmelo Anthony",9.62424816084967,1.46823653370293,96.2424816084968,1,3.92566176746071,16.42,2,85.35925,19.67453
"2",84,"right","Jahlil Okafor",0.0359461790786278,11.9846111182633,"Jose Calderon",1.68477244537615,15.5339497853733,"right",3,6553,"2015-12-18",FALSE,24.70962,27.26861,0,0,5,1,2,"Robin Lopez",8.97185332093665,1.47438667034804,89.7185332093664,1,1.76025347961617,21.99,3,69.29038,22.73139
"3",62,"right","Tony Wroten",0.501973604447137,5.74187594819846,"Kristaps Porzingis",1.45480458503935,9.79570432961816,"right",2,6437,"2015-12-18",TRUE,6.72436999999999,27.84979,0,0,5,1,2,"Carmelo Anthony",3.29051563186774,3.20233755005621,32.9051563186774,1,1.99615575857686,20.92,2,87.27563,22.15021
"4",81,"left","Jose Calderon",0.697602175284916,2.64220316775603,"Nerlens Noel",0.366062511411468,9.22047254599242,"left",3,3724,"2015-12-18",FALSE,28.92135,23.22126,1,0,3,1,2,"Isaiah Canaan",5.55333940910939,1.44169492906786,55.5333940910938,0,7.23312118400491,10.45,3,28.92135,23.22126
"5",86,"right","Robin Lopez",0.131576582421445,7.0401814779805,"Nerlens Noel",0.482362885365617,9.48889414273338,"right",3,59779,"2015-12-18",TRUE,23.9314,27.67806,0,0,3,0,3,"Jahlil Okafor",5.42269989480141,1.14168676352138,54.2269989480141,0,3.91438796301558,11.59,3,70.0686,22.32194
"6",107,"left","Jahlil Okafor",0.390894459265783,2.8462789587284,"Arron Afflalo",2.08896567651253,14.500529578043,"left",2,53432,"2015-12-18",TRUE,18.60387,14.36567,1,0,3,0,3,"Robin Lopez",7.31290703337165,0.680267126649523,73.1290703337165,1,1.56000338541295,9.16,2,18.60387,14.36567
"7",79,"right","Arron Afflalo",2.91200532442888,1.42148067355838,"Kendall Marshall",1.6454190099918,2.80228993369709,"right",3,48961,"2015-12-18",FALSE,31.07865,31.93805,1,1,2,1,3,"Jahlil Okafor",7.00712091412741,4.47386885352041,70.0712091412742,0,1.67980449011184,15.72,3,62.92135,18.06195
"8",130,"left","Jerami Grant",0.491555439493052,3.85737689963011,"Robin Lopez",0.191904962444058,14.8186359725347,"left",2,36782,"2015-12-18",FALSE,18.44917,24.82544,1,0,2,0,3,"Carmelo Anthony",3.93824565963491,1.75293258002126,39.3824565963491,1,4.42873410948316,4.73,2,18.44917,24.82544
"9",117,"right","Derrick Williams",0.354073491020252,7.28138537110212,"Nerlens Noel",0.180478213392729,20.1605551742034,"right",3,65087,"2015-12-18",FALSE,24.60886,34.13933,0,0,4,0,4,"Hollis Thompson",8.56616858077036,2.26393136196751,85.6616858077036,0,12.1560789987975,10.87,3,69.39114,15.86067
"10",54,"right","Kyle O'Quinn",0.630862229398506,2.75928311387215,"TJ McConnell",1.84809831391839,13.4398180168111,"right",2,37150,"2015-12-18",TRUE,9.76934,16.83774,1,0,5,0,4,"Jahlil Okafor",4.5556495369008,1.18421320580375,45.556495369008,0,2.19875675098453,13.7,2,84.23066,33.16226
