"","made","closest_def_locleft","closest_def_locright","closest_teammate_locleft","closest_teammate_locright","court_zone","other_shot","quarter","shot_val","accel_changes","closest_defender_angle","closest_defender_dist","closest_teammate_angle","closest_teammate_dist","game_clock","num_close_def","num_close_team","num_poss","shooter_avg_vel","shooter_dist_to_ball","shooter_dist_traveled","shooter_team","shooter_vel_at_shot","shot_clock","x_loc","y_loc"
"2845","2","0","1","0","1","3","1","3","3",-1.58088527210584,-0.771494584923609,1.87364646236454,2.12440527954971,0.259207965551556,1.57016325899067,-0.966108858148045,-0.306274385338241,1.06009660183492,1.17579500649342,-0.88137389440541,1.17579500649342,1.00123599090552,1.92799419578833,1.46538283181571,0.747022578845703,1.16435906742366
"1720","1","0","0","0","0","2","1","2","2",-0.514931388812511,0.187573711188577,-0.0427652573859831,-0.687879510008569,-1.01460456383756,-0.176406893111316,-0.966108858148045,-0.306274385338241,1.79710651032434,-1.41412280595363,2.04422129335224,-1.41412280595363,1.00123599090552,-0.767033459611574,-1.67387326615405,-1.2654260860747,-0.537085097518059
"2393","1","1","0","1","0","2","0","4","2",0.330480311730478,-1.04938102059111,-0.531988950769417,2.41439650618755,-1.37940399335215,0.222425444056294,1.75798910642883,2.88160443119665,-1.15093312363336,-0.182504769355339,-0.964569877884056,-0.182504769355339,1.00123599090552,-0.602359787545619,-1.50962955444797,-0.984418868928072,-0.708818969781374
"3884","2","1","0","1","0","2","0","2","2",1.24940607319025,-0.558721788641902,-0.672493109011764,0.15974753243954,-0.173274234468802,-0.0173855550423494,1.75798910642883,-0.306274385338241,0.323086693345488,-0.912274410719062,0.168043944277503,-0.912274410719062,-0.998491374702377,-0.696930197907543,-0.409027362603125,-1.0287127266631,0.45918574463314
"477","2","1","0","1","0","1","0","3","2",0.367237342188869,0.482529282453082,0.0313248798963773,-0.122656909176185,-0.629894723914967,0.361196075534709,-0.966108858148045,-0.306274385338241,0.323086693345488,0.957477724527417,2.90865393639935,0.957477724527416,-0.998491374702377,1.31373675965989,1.80572289421697,-1.55429844536262,-0.0305614950593252
"1263","1","0","1","0","1","2","0","1","2",-0.147361084228602,-0.582858861356339,-0.368902199989404,-0.668886077412208,1.63662551695152,0.767915530006008,0.395940124140395,-0.306274385338241,-1.15093312363336,-0.462288304330369,-0.380334274246032,-0.462288304330365,1.00123599090552,-0.868565565676701,0.247947484221184,1.08426238849945,1.59303684998001
"1538","2","0","1","0","1","1","0","2","2",-0.367903266978947,1.79745866091467,-0.642509242200742,1.93263041204662,-0.610802727730641,0.915159483452575,1.75798910642883,-0.306274385338241,1.79710651032434,1.21380129768951,-0.278605539261689,1.21380129768951,-0.998491374702377,0.243062893903097,1.21478417890335,1.35708512001824,-0.0460851684218902
"1525","2","0","1","0","0","2","0","3","2",0.183452189896915,-0.678043107870907,-0.577516462748036,-0.0586639728044466,1.11113751015772,0.254506826602379,0.395940124140395,-0.306274385338241,0.323086693345488,-0.709474901847758,0.25713066270083,-0.709474901847758,-0.998491374702377,0.707853976292572,-0.454744684418218,1.0177528906959,-0.71368035521797
"3448","1","1","0","1","0","3","1","4","3",-1.32358605889711,-0.902786434464038,-0.167789844274161,-0.489073072181109,-0.148253695308926,1.22435579829043,0.395940124140395,-0.306274385338241,-1.88794303212279,-0.907305050330723,0.0269619966983321,-0.907305050330719,1.00123599090552,0.808612199258958,-0.238010714331849,-0.31769968897939,-0.405282821761696
"2405","2","0","1","0","1","2","0","2","2",0.808321707689559,-0.34303265679839,-1.20855626456442,1.91829903102189,0.744786590242418,-1.17236861803455,1.75798910642883,-0.306274385338241,1.06009660183492,-1.06118604657872,0.909196371582634,-1.06118604657872,1.00123599090552,-0.544955209721407,0.432510005622858,1.26217826442941,-0.119511778483433
"3647","2","0","1","0","1","3","0","1","3",-0.735473571562856,2.66238426549838,4.4759494725847,-0.856333308787811,0.18519778548589,-0.593145118211626,-0.966108858148045,-0.306274385338241,-0.413923215143938,0.544123285223552,0.689354643015899,0.544123285223551,1.00123599090552,1.1665186189244,1.53311219746771,0.755900066015078,-0.0235681612608705
"3177","1","1","0","1","0","2","1","2","2",0.84507873814795,-1.07049647207363,-0.406122107473932,-0.377362805984755,-0.671034667671349,-0.518324086492849,1.75798910642883,-0.306274385338241,-0.413923215143938,-1.66325047534378,0.862719891545726,-1.66325047534378,-0.998491374702377,0.304335973731179,-1.23871209184001,-1.05289972380797,-1.17038579012385
